"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-01","6.04","0.00","0.0","0","83","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-02","4.70","0.00","0.0","0","78","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-03","1.34","0.04","0.0","0","70","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-04","2.46","0.40","0.0","0","83","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-05","3.36","0.91","0.0","0","71","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-06","5.59","0.00","0.0","0","83","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-07","5.14","0.00","0.0","0","85","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-08","7.61","0.45","0.0","0","67","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-09","8.95","0.00","0.0","0","71","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-10","5.37","0.00","0.0","0","77","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-11","3.36","0.00","0.0","0","88","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-12","8.05","0.00","0.0","0","83","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-13","7.38","0.00","0.0","0","74","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-14","4.25","0.00","0.0","0","79","58"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-15","2.46","0.00","0.0","0","85","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-16","1.79","0.22","0.0","0","74","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-17","4.70","0.00","0.0","0","78","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-18","2.68","0.00","0.0","0","87","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-19","2.91","0.00","0.0","0","88","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-20","3.13","0.00","0.0","0","84","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-21","4.92","0.00","0.0","0","87","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-22","4.03","0.00","0.0","0","86","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-23","2.01","0.00","0.0","0","83","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-24","6.26","0.00","0.0","0","84","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-25","3.58","0.00","0.0","0","86","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-26","2.46","0.00","0.0","0","87","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-27","4.92","0.45","0.0","0","83","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-28","3.58","0.12","0.0","0","76","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-29","2.24","0.01","0.0","0","83","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-30","2.91","0.00","0.0","0","85","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-01","3.80","0.00","0.0","0","79","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-02","4.47","0.01","0.0","0","76","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-03","3.58","0.01","0.0","0","73","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-04","2.24","0.09","0.0","0","70","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-05","4.92","0.02","0.0","0","67","58"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-06","7.16","0.06","0.0","0","58","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-07","3.36","0.00","0.0","0","67","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-08","3.80","0.00","0.0","0","69","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-09","4.70","0.00","0.0","0","80","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-10","3.58","0.00","0.0","0","85","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-11","5.14","0.00","0.0","0","90","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-12","3.80","0.00","0.0","0","93","76"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06-13","3.13","0.00","0.0","0","94","77"
